"Story","Title","Result","Date","Stability","Duration (s)"
"Users CRUD test","This will create a user","SUCCESS","2022-06-21T20:09:50.705+01:00[Europe/London]","0.0","0.84"
"Users CRUD test","Verify is User is added or not","FAILURE","2022-06-21T20:09:51.549+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","This will login a user","FAILURE","2022-06-21T20:09:51.736+01:00[Europe/London]","0.0","0.14"
"Users CRUD test","This will update a user by PUT","SUCCESS","2022-06-21T20:09:51.892+01:00[Europe/London]","0.0","0.17"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-21T20:09:52.064+01:00[Europe/London]","0.0","0.14"
"Users CRUD test","This will Delete a user ","SUCCESS","2022-06-21T20:09:52.221+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","1. This will verify if Page = 2","SUCCESS","2022-06-21T20:09:52.408+01:00[Europe/London]","0.0","0.14"
"Users CRUD test","2. This will if verify Per_page = 6","SUCCESS","2022-06-21T20:09:52.549+01:00[Europe/London]","0.0","0.11"
"Users CRUD test","3. This will if verify second data id = 8","SUCCESS","2022-06-21T20:09:52.658+01:00[Europe/London]","0.0","0.11"
"Users CRUD test","4. This will if verify forth data first_name = Byron","SUCCESS","2022-06-21T20:09:52.767+01:00[Europe/London]","0.0","0.14"
"Users CRUD test","5. This will if verify list of data = 6","SUCCESS","2022-06-21T20:09:52.924+01:00[Europe/London]","0.0","0.09"
"Users CRUD test","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","SUCCESS","2022-06-21T20:09:53.017+01:00[Europe/London]","0.0","0.13"
"Users CRUD test","7. This will if verify support.url =https://reqres.in/#support-heading","SUCCESS","2022-06-21T20:09:53.142+01:00[Europe/London]","0.0","0.11"
"Users CRUD test","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","SUCCESS","2022-06-21T20:09:53.252+01:00[Europe/London]","0.0","0.14"
